CourseID,CourseName,Credits,Description
1,Intro Asian American Studies,3,"Interdisciplinary introduction to the basic concepts and approaches in Asian American Studies. Surveys the various dimensions of Asian American experiences including history, social organization, literature, arts, and politics."
2,U.S. Race and Empire,3,"Invites students to examine histories and narratives of U.S. race and empire, drawing upon multiple theoretical and methodological works in Asian American studies and related fields. Same as LLS 200."
3,US Racial &amp; Ethnic Politics,3,"Same as AFRO 201, LLS 201, and PS 201. See PS 201."
4,US Citizenship Comparatively,3,"Examines the racial, gendered, and sexualized aspects of US citizenship historically and comparatively. Interdisciplinary course taught from a humanities perspective. Readings draw from critical legal studies, history, literature, literary criticism, and ethnography. Same as AFRO 215, AIS 295, GWS 215, and LLS 215."
5,Asian American Youth in Film,3,Examines both mainstream and independent films and documentaries representing and/or produced by Asian American youth. Explores the role of multiculturalism and diversity issues in informing young people's experiences.
6,Asian American History,3,Same as HIST 283. See HIST 283.
7,Asian American Literature,3,Same as ENGL 286. See ENGL 286.
8,Food and Asian Americans,3,"Introduction to the interdisciplinary study of food to better understand the historical, social, and cultural aspects of Asian American food preparation, distribution and consumption. Students will investigate the politics and poetics of Asian American foodways by examining social habits, and rituals around food in restaurants, ethnic cookbooks, fictional works, memoirs, magazines, and television shows. Prerequisite: AAS 100 or AAS 120, or consent of instructor."
9,Global Islam and Feminisms,3,Same as GWS 288. See GWS 288.
10,Asian Families in America,3,Same as HDFS 221 and SOCW 297. See SOCW 297.
11,"Theories of Race, Gender, and Sexuality",3,"Explores theories for performing interdisciplinary, intersectional and comparative studies within the field of Asian American studies. Follows multiple genealogies of critical work in ethnic and American studies. Same as GWS 305 and LLS 305."
12,Race and Cultural Diversity,4,"Same as AFRO 310, EPOL 310, and LLS 310. See EPOL 310."
13,Race and Mixed Race,3,Same as LLS 355 and SOC 355. See LLS 355.
14,Literatures of the Displaced,3,"Same as AIS 357, ENGL 357, GWS 357, and LLS 357. See LLS 357."
15,"Immigration, Law, and Rights",3,"Exploration of the histories, cultures, and experiences of immigration to the United States by examining cultural production (literary and visual narratives and texts) alongside legal discourses (legislation, federal court cases). Same as LLS 372."
16,Intermed Topics Asian Am St,3,May be repeated in the same or subsequent terms to a maximum of 6 hours.
17,"Race, Sex, and Deviance",3,"Same as AFRO 465, GWS 465, and LLS 465. See LLS 465."
18,Experiments in Queer of Color Performance,3,"Same as ENGL 496, FAA 496, GWS 496, and THEA 486. See FAA 496."
19,Race and Cultural Critique,4,"Introduction to graduate level theoretical and methodological approaches in Comparative Race Studies. As a survey of theories of race and racism and the methodology of critique, this course offers an interdisciplinary approach that draws from anthropology, sociology, history, literature, cultural studies, and gender/sexuality studies. In addition, the study of racial and cultural formation is examined from a comparative perspective in the scholarship of racialized and Gender and Women's Studies. Same as AFRO 531, ANTH 565, GWS 561, and LLS 561."
20,Readings in Asian Am Studies,1,Individual guidance in intensive readings in the literature of one or more subdivisions of the field of Asian American Studies. May be repeated to a maximum of 8 hours. Students may register in more than one section per term if topics vary. Prerequisite: Graduate standing or consent of instructor.
21,Applied Biology for Agricultural and Biological Engineers,3,"Principles of biology relevant to agriculture, food, energy, and the environment, including microbiology, biochemistry, genetics, plant and animal systems, and ecosystems. Case studies of engineering applications where these biological principles have been taken into account or leveraged for the purpose of design. Credit not given for both ABE 128 and ABE 141."
22,Water in the Global Environment,3,"This course develops a comprehensive understanding and appreciation of water and its impact in a global context. The course emphasizes cultural practices associated with water and its use, especially for regions in non-western cultures. Students will develop critical knowledge of: 1) water availability, water quality, and global challenges; 2) historical perspectives of water use; 3) past, present, and future environmental sustainability in relation to water, food, and energy; and 4) conduct analysis of cultural practices and their sustainability based on water in a global context. Students attend 3-4 field trips related to the course."
23,Undergraduate Open Seminar,1,May be repeated to a maximum of 12 hours.
24,Computer-Aided Problem-Solving for ABE II,3,"Case studies from traditional and new domains in ABE will be considered, such as: off-highway vehicles, natural resources and environmental systems, control of indoor air environments, bioprocessing of food and agricultural materials, digital and urban agriculture, renewable energy, sustainability, and synthetic biology. Typical approaches to problem solving include spreadsheets, GUI based programming, scripting, geospatial platforms, solid modeling, visual programming, dynamic modeling, biological modeling. ABE 228 considers complementary approaches and topics covered in ABE 227. Prerequisite: One of MATH 220, MATH 221, MATH 234."
25,Context in International Interventions,3,"This multi-disciplinary course will examine a new approach to infrastructure engineering for alternately developed societies that seeks to counteract the disconnects and differing objectives among project stakeholders that result in lack of infrastructure sustainability and resiliency. Using a case study from Western Africa, the course will consider the impact of globalization, the attitudes of industrialized societies, and the role of place-based knowledge in designing and implementing infrastructure interventions for rural societies. Same as AFST 233."
